method,err_0p5s,err_1p0s,err_1p5s,err_2p0s,err_2p5s,err_3p0s,err_3p5s,err_4p0s,err_4p5s,err_5p0s,err_5p5s,err_6p0s
mlp_hidden_64,0.151631347123343,0.2570916641151681,0.4017506396119808,0.5813849326920966,0.7215477394903164,0.9181244732720767,1.148289989469049,1.3350740918699144,1.6023170999793697,1.8677159958963536,2.113101456144994,2.4658712654457884
mlp_hidden_128,0.12127505308506609,0.22540551230237973,0.36104357261038705,0.4932433152693689,0.6372567217969679,0.807328956074674,0.9737525493454252,1.1749312314813407,1.3916612150562948,1.618086623994631,1.8833489097761975,2.1628097854171013
mlp_hidden_256,0.12377939753936186,0.22574758938869557,0.3400375560109255,0.46302595038022526,0.603983900814042,0.7536156481437501,0.9154834882994526,1.0881697986541523,1.2956199394029682,1.518760304597725,1.7628974465782945,2.0274245657677636
