sample_idx,ade,fde
577,0.13310357928276062,0.23375700414180756
2895,8.807483673095703,20.82117462158203
2264,0.590925931930542,3.656114101409912
2472,0.10301653295755386,0.1485794186592102
1372,0.10061075538396835,0.10017910599708557
3101,0.174699604511261,0.2250317484140396
2559,0.0762731209397316,0.08438592404127121
1470,0.07348852604627609,0.04363138601183891
125,0.045901086181402206,0.10832826793193817
1005,0.09499172121286392,0.09035638719797134
3310,1.148696780204773,1.7290053367614746
2420,0.19256746768951416,0.42054274678230286
3423,0.751164972782135,1.0979162454605103
3012,0.03071250207722187,0.03551974520087242
1870,0.8540527820587158,1.7719389200210571
2256,0.1978243589401245,0.18034100532531738
3207,0.47922852635383606,0.7774552702903748
2787,0.04532753303647041,0.042339760810136795
1947,0.9158449172973633,1.2473450899124146
2834,0.10942259430885315,0.11397488415241241
598,0.2773393392562866,0.3973994553089142
1914,1.0880844593048096,1.213239073753357
2125,0.145248681306839,0.2553686499595642
601,0.24102824926376343,0.3958854377269745
2297,0.05696062743663788,0.1186903864145279
788,0.044880274683237076,0.05779632180929184
818,2.4223458766937256,4.161094665527344
1891,6.594398498535156,18.098222732543945
3225,0.06324010342359543,0.15774886310100555
532,0.03344340622425079,0.057742293924093246
1512,0.17747747898101807,0.3327382802963257
920,0.10670676827430725,0.15478534996509552
1784,0.08247261494398117,0.1620694249868393
2677,0.3238109350204468,0.3430992066860199
1506,0.13150659203529358,0.2512736916542053
2596,0.11901023238897324,0.13741403818130493
486,0.05788193270564079,0.15137404203414917
1297,1.0863218307495117,1.7607473134994507
3347,0.12844006717205048,0.23841114342212677
1257,0.17058366537094116,0.22649265825748444
842,0.04125891998410225,0.07695997506380081
1894,1.3418306112289429,1.3915339708328247
2192,0.41507187485694885,0.5117786526679993
317,0.04552752152085304,0.10598094761371613
1255,0.32703936100006104,0.39965206384658813
3007,0.10320297628641129,0.21579723060131073
3162,0.13142387568950653,0.2791191637516022
1605,0.054788634181022644,0.09431828558444977
3059,0.1810888648033142,0.22370180487632751
3196,0.033279646188020706,0.05398382991552353
553,0.14745159447193146,0.21192578971385956
1194,0.1797497272491455,0.2156556397676468
2803,0.3569178283214569,0.38456660509109497
648,0.21540284156799316,0.3349778950214386
2783,0.061558861285448074,0.012700690887868404
255,1.1387649774551392,2.0252437591552734
3122,4.58835506439209,12.22874927520752
3172,0.029706301167607307,0.026944106444716454
2204,0.13566291332244873,0.2443351149559021
2196,0.1476593166589737,0.03750501945614815
3402,3.2789766788482666,9.038800239562988
2367,0.09792248159646988,0.15713240206241608
1881,0.4621797502040863,0.6591400504112244
2130,0.16863925755023956,0.30966588854789734
1855,0.9329975247383118,1.4098047018051147
1465,0.10040515661239624,0.12853185832500458
2323,0.2670176923274994,0.4301776587963104
2200,0.16089774668216705,0.1992994099855423
2158,0.18942858278751373,0.2095595896244049
1328,0.2994159460067749,0.35406598448753357
1950,0.644770085811615,0.8783679604530334
3102,1.7394652366638184,1.6469261646270752
1552,0.0465514175593853,0.05425077676773071
981,0.09590556472539902,0.1897960752248764
1709,0.15983207523822784,0.25984087586402893
2777,0.0742386057972908,0.06873387843370438
72,0.15469123423099518,0.24296049773693085
974,0.10431972146034241,0.2015543133020401
2789,0.05251169577240944,0.06826375424861908
1311,0.04408985748887062,0.05954631790518761
627,0.17476777732372284,0.275195837020874
3439,0.14558550715446472,0.28067746758461
1940,0.5742872953414917,0.8259299397468567
2641,0.3344235420227051,0.4004775583744049
742,5.966739177703857,11.2312593460083
2391,0.03216628357768059,0.03903234004974365
466,0.13972683250904083,0.4023493230342865
1462,0.2608374059200287,0.35182106494903564
1349,0.1033688560128212,0.1577727049589157
2445,0.16795003414154053,0.2550205588340759
3088,11.095108985900879,25.000551223754883
1146,0.04416382685303688,0.021610550582408905
2157,0.04828484356403351,0.1508345901966095
2191,0.08540386706590652,0.11420215666294098
654,0.2384306639432907,0.5249221920967102
942,6.197140216827393,14.794232368469238
524,0.2564450204372406,0.5339064002037048
5,0.18491798639297485,0.5300441980361938
2955,3.325237989425659,8.682073593139648
2799,0.1054697036743164,0.1448911428451538
1119,0.21044622361660004,0.23379544913768768
3351,0.1208128035068512,0.1389327347278595
445,0.25849083065986633,0.18829014897346497
534,0.03051213175058365,0.020462675020098686
112,0.0474930964410305,0.11059577763080597
2865,0.03300703689455986,0.041849832981824875
1879,3.3878393173217773,6.579980850219727
2497,0.19284792244434357,0.4542944133281708
2646,0.17591148614883423,0.3678465187549591
992,2.621701240539551,2.5846445560455322
233,5.182349681854248,15.523028373718262
2564,0.0555812232196331,0.1468554437160492
3413,1.0515694618225098,1.3563262224197388
3166,0.11836609244346619,0.2955619692802429
305,0.04552752152085304,0.10598094761371613
267,0.07138518244028091,0.09258370846509933
294,0.04475319758057594,0.10535574704408646
3159,0.19503110647201538,0.21724972128868103
2224,0.047815676778554916,0.08185821026563644
1580,0.26551195979118347,0.4220820665359497
3256,0.16711874306201935,0.269728422164917
2988,0.15891678631305695,0.24049198627471924
3419,0.5341694951057434,0.6838825345039368
2255,0.09339123219251633,0.20307621359825134
1383,0.11670912057161331,0.3172728717327118
2236,0.07564092427492142,0.07816026359796524
2527,0.20861680805683136,0.19942331314086914
1039,0.1207837238907814,0.18658576905727386
3297,1.1879583597183228,1.8939814567565918
3264,0.5915512442588806,0.2519910931587219
848,0.04310191795229912,0.0915326178073883
1504,0.10187763720750809,0.07950451970100403
2091,0.06982171535491943,0.0771326869726181
3220,0.06450263410806656,0.16147589683532715
1403,0.06596285104751587,0.12929978966712952
2000,0.23240768909454346,0.15623551607131958
3029,4.202123165130615,8.245591163635254
3008,0.09510015696287155,0.1562567949295044
3250,0.11201300472021103,0.2949623465538025
1942,0.6203402876853943,0.8300104141235352
1518,0.17563901841640472,0.15495526790618896
1214,0.05565742775797844,0.0660889744758606
1633,0.057408858090639114,0.128854438662529
2198,0.1388813853263855,0.31311869621276855
490,0.17493979632854462,0.27201569080352783
146,0.19636458158493042,0.2585706412792206
2402,0.07269658148288727,0.03146803751587868
1341,0.1309843510389328,0.053709741681814194
1307,0.05479193106293678,0.08129336684942245
2583,0.09855106472969055,0.21239598095417023
3274,0.9947948455810547,1.9868046045303345
1204,0.06133608520030975,0.10107189416885376
1595,0.09585738182067871,0.25890764594078064
2672,0.20792315900325775,0.16620810329914093
481,0.06272587180137634,0.08483808487653732
1350,0.13916420936584473,0.23966287076473236
424,0.046502698212862015,0.12037242949008942
1624,0.15683779120445251,0.14505062997341156
2058,0.04439626634120941,0.03575354069471359
1353,0.3073267638683319,0.44936850666999817
2718,0.07287701964378357,0.1027430072426796
2442,0.146590456366539,0.2579341530799866
3210,0.6687803268432617,1.030172348022461
2441,0.3649090528488159,0.4130540192127228
2581,0.058619674295186996,0.11877840757369995
3428,0.07574088126420975,0.13247860968112946
2929,0.7487494945526123,1.4472006559371948
2333,0.07405209541320801,0.09859040379524231
1893,5.116841793060303,5.617607116699219
2486,0.023171724751591682,0.020185338333249092
2034,0.043364521116018295,0.040748488157987595
859,0.10803673416376114,0.18228407204151154
3346,0.11532697081565857,0.21479690074920654
3441,0.08549074083566666,0.17998747527599335
1096,0.05541478469967842,0.07257308065891266
2371,0.08536545187234879,0.04007501155138016
0,0.12667807936668396,0.2855050563812256
582,0.14474321901798248,0.23181568086147308
2826,5.150714874267578,12.138557434082031
667,0.34799638390541077,1.107288122177124
1240,0.06380832940340042,0.1076076552271843
2378,0.057534024119377136,0.09599798917770386
624,0.06021881103515625,0.06414501368999481
1500,0.036619629710912704,0.07920970022678375
3123,5.8674702644348145,13.781281471252441
1507,0.2334890365600586,0.450866162776947
141,0.17315323650836945,0.24545365571975708
990,0.09590556472539902,0.1897960752248764
2033,0.03548114374279976,0.024966133758425713
1679,1.275537133216858,2.5175998210906982
1770,5.297727108001709,15.409259796142578
968,0.12271975725889206,0.22880247235298157
3036,2.550415515899658,8.668497085571289
2012,0.3106561005115509,0.5383987426757812
2457,0.12179911136627197,0.09747567772865295
3407,4.211294651031494,9.607095718383789
2572,0.05717596784234047,0.057439468801021576
131,0.04551573097705841,0.10938700288534164
1160,0.10466950386762619,0.10735588520765305
444,0.04461995139718056,0.05982960760593414
612,1.406784176826477,2.8286142349243164
2090,0.2566336691379547,0.25022634863853455
1265,0.09214799851179123,0.126948282122612
2595,0.09344202280044556,0.09494920819997787
2021,0.09428391605615616,0.22838972508907318
1475,0.11569873243570328,0.15104354918003082
82,0.1127387061715126,0.21479347348213196
905,0.06594260782003403,0.09032180160284042
1441,0.06552156060934067,0.0328223891556263
440,0.07999151945114136,0.10087228566408157
1434,0.07673434168100357,0.09132900089025497
2532,0.10325667262077332,0.19671954214572906
2673,0.4518527090549469,0.5543157458305359
1099,0.025380784645676613,0.03152790293097496
962,0.2240293025970459,0.3808288872241974
703,7.4541144371032715,16.28660011291504
762,0.10535451024770737,0.21211403608322144
770,0.10522329807281494,0.21161949634552002
3311,2.6603119373321533,5.0660176277160645
594,0.29620611667633057,0.3156532049179077
943,1.256913185119629,2.7160136699676514
2114,0.14309872686862946,0.21479296684265137
3458,0.39966002106666565,0.4036550223827362
1883,12.721405982971191,27.369548797607422
26,0.13723991811275482,0.16461020708084106
2760,0.07463287562131882,0.17135310173034668
2681,0.27089545130729675,0.15254555642604828
2246,0.09509969502687454,0.19494329392910004
2725,0.06556478887796402,0.08619456738233566
387,7.743602275848389,19.085872650146484
128,0.045901086181402206,0.10832826793193817
1208,0.05576619505882263,0.09135979413986206
1739,0.027981536462903023,0.03640328347682953
1971,5.3219990730285645,10.443689346313477
2498,0.35007402300834656,0.3146642744541168
2979,0.15469735860824585,0.2636403441429138
588,0.5309828519821167,0.645387589931488
3406,4.133209228515625,10.413021087646484
1336,0.13460223376750946,0.1570722609758377
2116,0.1375923901796341,0.24196530878543854
1799,0.048019442707300186,0.12121762335300446
835,0.04310191795229912,0.0915326178073883
237,2.370680093765259,6.644898891448975
593,0.09881838411092758,0.1667417585849762
2990,0.19603866338729858,0.2551744282245636
3271,1.0925430059432983,2.2812821865081787
1850,1.7923741340637207,2.7618980407714844
2831,0.23498694598674774,0.3176937699317932
881,0.0946974828839302,0.16152998805046082
244,2.4011893272399902,7.474449157714844
3255,0.160394087433815,0.27138614654541016
3410,3.519928216934204,9.233017921447754
2938,0.7989723086357117,0.8947568535804749
68,0.1671626716852188,0.2854781746864319
1278,0.059814322739839554,0.023604217916727066
901,4.485543727874756,10.84630012512207
1154,0.09311443567276001,0.12086980789899826
3010,0.06531688570976257,0.0929853767156601
2423,0.14283840358257294,0.07507873326539993
376,0.04551754891872406,0.01712847501039505
2761,0.09858012944459915,0.10149336606264114
2706,0.07699146121740341,0.12892216444015503
2675,0.3698047697544098,0.2274056375026703
1347,0.07402990013360977,0.06250439584255219
2475,0.09562932699918747,0.15907488763332367
2770,0.06322313100099564,0.06235050782561302
1339,0.14528189599514008,0.03165968134999275
2970,6.293319225311279,13.919333457946777
1808,0.03212392330169678,0.033734697848558426
909,0.06550125777721405,0.08975653350353241
1237,0.2687123715877533,0.2988797724246979
108,0.588659405708313,0.9012966156005859
358,12.60315227508545,30.325546264648438
1321,0.04216694459319115,0.04303129389882088
1838,1.3484320640563965,2.639387845993042
801,0.044966116547584534,0.05756094679236412
1202,0.07433726638555527,0.1251719444990158
3054,0.371740460395813,0.6040006279945374
2631,0.19236336648464203,0.3490869998931885
751,7.112748622894287,21.044818878173828
323,0.06286302953958511,0.08774416893720627
3022,6.208846569061279,12.331289291381836
777,0.09663795679807663,0.1980084478855133
961,0.22372794151306152,0.3804713785648346
370,0.06864934414625168,0.19122426211833954
2594,0.06926850229501724,0.17507967352867126
242,3.046433448791504,6.576742172241211
2766,0.12598931789398193,0.2004566490650177
3270,1.3772430419921875,2.4844377040863037
2210,0.13305042684078217,0.24060600996017456
1884,12.047295570373535,31.729249954223633
1875,1.342508316040039,2.9770328998565674
3328,1.2955526113510132,1.2057468891143799
2067,0.033940766006708145,0.046779945492744446
2171,0.029637418687343597,0.03793184459209442
1587,0.17088131606578827,0.18045711517333984
1088,0.1734418421983719,0.22305384278297424
3244,0.05756942555308342,0.14061877131462097
186,0.24638541042804718,0.29466167092323303
1380,0.16904209554195404,0.1307486742734909
2462,0.05558785796165466,0.01911936327815056
1543,0.044671524316072464,0.052584100514650345
1424,0.09837900847196579,0.10017582774162292
2152,0.08060315996408463,0.1978350132703781
2811,2.024991750717163,6.936089515686035
2965,1.7957682609558105,5.56603479385376
309,0.04552752152085304,0.10598094761371613
301,0.04378647729754448,0.10498082637786865
1703,0.049595993012189865,0.05101956054568291
1669,4.072279453277588,5.133719444274902
793,0.09704268723726273,0.16522318124771118
1103,0.02116016112267971,0.012936605140566826
1907,1.8557991981506348,6.807186126708984
3451,0.5143671631813049,0.6831116676330566
3324,6.153789043426514,13.7470703125
21,0.12835915386676788,0.09434831142425537
259,0.0698593482375145,0.10336168110370636
3408,2.0679681301116943,4.089507102966309
18,0.2904480993747711,0.49353453516960144
2213,0.15651118755340576,0.20294782519340515
2503,0.1664656400680542,0.2716790735721588
1007,12.95356273651123,32.61125946044922
465,0.1059979721903801,0.2574864327907562
81,0.15315590798854828,0.23604930937290192
3262,1.725814938545227,3.2911176681518555
2525,0.26774922013282776,0.2787829041481018
270,0.07138518244028091,0.09258370846509933
1989,0.2529539167881012,0.28223124146461487
767,0.12444442510604858,0.24035750329494476
2720,0.15632860362529755,0.3396933376789093
2935,0.2750574052333832,0.2181106060743332
2173,0.03108360804617405,0.03486006706953049
2614,0.23643316328525543,0.33416202664375305
993,6.197585582733154,11.255439758300781
1293,2.430194139480591,5.622380256652832
3251,0.054664190858602524,0.13599716126918793
827,2.256889581680298,4.939030170440674
2958,4.113009452819824,6.717890739440918
3412,4.851007461547852,11.978561401367188
214,0.32114729285240173,0.3663967251777649
1414,0.040491316467523575,0.02522646076977253
1835,1.613119125366211,3.871185302734375
938,0.7241005301475525,1.711763620376587
1323,0.2163269966840744,0.13868792355060577
1972,1.4122856855392456,3.548025131225586
1666,5.247432231903076,10.914392471313477
3070,0.180922269821167,0.3281746804714203
1645,0.10516089200973511,0.11564584076404572
2869,0.03520625829696655,0.046132855117321014
59,0.32994982600212097,0.5202863216400146
1918,1.5520187616348267,3.7559564113616943
1968,0.7961512207984924,0.8421922922134399
894,6.569452285766602,18.957441329956055
2686,0.13452959060668945,0.11268670111894608
402,1.2838321924209595,2.2018697261810303
398,0.25615349411964417,0.22596755623817444
1705,0.049595993012189865,0.05101956054568291
143,0.37288129329681396,0.743582546710968
692,0.16404308378696442,0.2787652313709259
3077,0.2566513121128082,0.43520838022232056
1984,0.307765930891037,0.1749640852212906
957,0.2240833193063736,0.3809277415275574
2212,0.15584993362426758,0.47226589918136597
2466,0.08706945925951004,0.12362195551395416
817,1.1127718687057495,3.651236057281494
1148,0.16564981639385223,0.20276112854480743
3209,0.13684336841106415,0.14845387637615204
1527,0.07138411700725555,0.08083351701498032
958,0.2237216681241989,0.3804183602333069
1581,0.2393847554922104,0.3511542081832886
2103,0.10548028349876404,0.1330377161502838
2251,0.05195833370089531,0.1069801077246666
2115,0.10011976212263107,0.17472262680530548
2415,0.12268015742301941,0.14550672471523285
2886,8.225323677062988,15.607714653015137
1730,0.10293813794851303,0.1739981472492218
1554,0.19940240681171417,0.6171979308128357
1484,0.21632947027683258,0.3495878279209137
1976,5.648814678192139,12.772096633911133
69,0.09002602100372314,0.08944480121135712
2304,0.03931471332907677,0.06492826342582703
3389,3.618746519088745,8.084692001342773
1651,0.04260152205824852,0.0485960990190506
1969,0.9896078705787659,1.661752462387085
1168,0.06770411878824234,0.15159381926059723
1147,0.049232300370931625,0.09767221659421921
3492,1.1217256784439087,2.718747138977051
1324,0.32025274634361267,0.44598817825317383
696,0.16404308378696442,0.2787652313709259
2358,0.08293884992599487,0.06238968297839165
54,0.16541151702404022,0.261080801486969
2038,0.049793679267168045,0.1024012416601181
1452,0.024494819343090057,0.032963868230581284
604,0.08330600708723068,0.3696576654911041
17,0.30074092745780945,0.47611671686172485
1015,6.635443210601807,20.985605239868164
2331,0.3484618365764618,0.511859118938446
738,6.282013416290283,19.659425735473633
1859,0.7766292095184326,1.2367594242095947
2653,0.11225495487451553,0.2072405219078064
775,0.09723227471113205,0.1998317837715149
2174,0.03448133170604706,0.0416332483291626
46,0.2319052666425705,0.3659905195236206
247,2.6035139560699463,7.586391448974609
3279,1.5008708238601685,3.598904609680176
967,0.09590556472539902,0.1897960752248764
761,0.0979032889008522,0.20029976963996887
3065,0.22191880643367767,0.4056435525417328
892,0.09469769150018692,0.16152441501617432
2481,0.08123690634965897,0.1267969012260437
472,0.038772549480199814,0.028665509074926376
2184,0.04090828076004982,0.05564133822917938
455,0.12166940420866013,0.04209813475608826
3093,0.7724646925926208,1.0113455057144165
2159,0.13719242811203003,0.1901773363351822
1198,0.31187689304351807,0.490130215883255
335,0.041181325912475586,0.050882488489151
824,4.091491222381592,6.728613376617432
2994,0.15966667234897614,0.18053726851940155
1397,0.02611054666340351,0.02985447458922863
2854,0.05329471454024315,0.09037812799215317
1495,0.06207278370857239,0.07591179758310318
1734,0.3743995130062103,1.2413169145584106
2432,0.14618456363677979,0.09103446453809738
1582,0.1433958262205124,0.07515150308609009
1821,0.02873055636882782,0.023596925660967827
1790,0.13513852655887604,0.08532833307981491
1450,0.0370856449007988,0.048737555742263794
1864,0.44071686267852783,0.9222829341888428
1454,0.02802056260406971,0.038918934762477875
1123,0.13787329196929932,0.2774302065372467
1967,0.5096784234046936,1.7458157539367676
3056,0.40452611446380615,0.5474063158035278
882,0.08358661085367203,0.13927730917930603
636,0.060618892312049866,0.013122268952429295
3252,0.08292143791913986,0.24116234481334686
1576,0.054660454392433167,0.11559107899665833
963,0.22289715707302094,0.3795394003391266
1418,0.06576578319072723,0.1466560810804367
1644,0.05606665089726448,0.08642344176769257
516,0.14872120320796967,0.25889381766319275
311,0.04552752152085304,0.10598094761371613
2576,0.07339835166931152,0.06470539420843124
1338,0.27305570244789124,0.3433375954627991
1757,0.11001551151275635,0.14913176000118256
2782,0.17988215386867523,0.2653942406177521
1750,0.07208488881587982,0.08537602424621582
2324,0.3111695945262909,0.43555745482444763
569,1.2646230459213257,2.7757887840270996
1417,0.03289811685681343,0.07003428786993027
2908,11.778372764587402,23.34096336364746
2627,0.09201281517744064,0.03298813849687576
1519,0.13867972791194916,0.05325596034526825
1326,0.306325227022171,0.3354973793029785
2639,0.194668248295784,0.2883961498737335
339,0.056485529989004135,0.0428311824798584
2887,9.278620719909668,17.85130500793457
2922,7.373283386230469,13.381203651428223
3047,0.4270828068256378,0.5275193452835083
2464,0.037202805280685425,0.08267664164304733
2056,0.04903870448470116,0.0438259094953537
1366,0.11081554740667343,0.18733812868595123
1395,0.026867464184761047,0.015151115134358406
966,0.10431972146034241,0.2015543133020401
3237,0.09444469213485718,0.26430413126945496
1505,0.11766111850738525,0.03432488813996315
1432,0.0787535235285759,0.2011457234621048
1301,5.225030422210693,11.370282173156738
1920,2.0277020931243896,5.46058988571167
7,0.22695708274841309,0.3138403594493866
924,0.065446637570858,0.08861435949802399
2578,0.03642001003026962,0.09453175216913223
1427,0.05570279434323311,0.13977114856243134
3393,6.83135986328125,17.274587631225586
2009,0.04434116557240486,0.08040283620357513
2924,6.822965145111084,15.335906028747559
2240,0.06827747821807861,0.15399739146232605
3367,0.41211751103401184,0.7729937434196472
2438,0.1546681970357895,0.5278331637382507
610,2.6306793689727783,4.063138961791992
916,0.06517466902732849,0.08938097208738327
1548,0.059015605598688126,0.07586316019296646
1526,0.03832768648862839,0.02025657705962658
3321,2.170726776123047,3.7039382457733154
1524,0.18652619421482086,0.3095249533653259
991,11.80916690826416,23.377153396606445
2405,0.12027415633201599,0.08246760070323944
794,0.04636532440781593,0.060569752007722855
2983,0.2625068128108978,0.5800974369049072
2007,0.3332551419734955,0.5333818793296814
396,3.8908910751342773,8.0758056640625
1717,1.1524864435195923,1.3848638534545898
2005,0.09944561868906021,0.14188943803310394
621,0.4144364297389984,1.9209743738174438
281,0.1729349046945572,0.23468315601348877
1551,0.0474887453019619,0.05528311803936958
80,0.1133464053273201,0.1783876121044159
1818,0.03334532305598259,0.03642630577087402
269,0.07138518244028091,0.09258370846509933
3020,0.031080713495612144,0.042338237166404724
3496,2.6172380447387695,7.2334065437316895
429,0.17311151325702667,0.22953875362873077
246,1.7830549478530884,6.111401081085205
1457,0.039557021111249924,0.05126115679740906
705,4.970498561859131,14.090357780456543
2132,0.0587088018655777,0.10183962434530258
2426,0.22397927939891815,0.39950087666511536
439,0.22973854839801788,0.18105871975421906
2031,0.043297480791807175,0.04054044187068939
2982,0.2771431505680084,0.40877512097358704
2063,0.054372578859329224,0.056732743978500366
1280,0.06378591060638428,0.03287652134895325
2499,0.24542516469955444,0.31565991044044495
1361,0.11254923790693283,0.19499541819095612
939,2.854135751724243,11.309684753417969
2066,0.03364260122179985,0.04748648405075073
3242,0.05836370587348938,0.1501501202583313
3137,0.20057950913906097,0.3513508141040802
338,0.059832096099853516,0.08103743940591812
1999,0.28502970933914185,0.24150241911411285
883,0.08358988910913467,0.13927234709262848
34,0.29166725277900696,0.35998421907424927
2543,0.041375089436769485,0.0614788681268692
1139,0.1614966094493866,0.20663860440254211
1887,2.1371567249298096,8.539933204650879
2774,0.2317674607038498,0.4363744854927063
2206,0.12137963622808456,0.19829855859279633
1839,0.5013899803161621,0.9106560945510864
2523,0.06338349729776382,0.19676247239112854
2582,0.05737262964248657,0.15963323414325714
3266,0.8950334191322327,2.0640861988067627
2881,1.33197820186615,3.4479434490203857
548,0.0948421061038971,0.18215467035770416
1592,0.17582489550113678,0.12265708297491074
