method,hidden_dim,epochs,lr,ade,fde,num_samples
mlp_hidden_64,64,100,0.001,1.13032505878205,2.4658712654457884,704
mlp_hidden_128,128,100,0.001,0.987511954098326,2.1628097854171013,704
mlp_hidden_256,256,100,0.001,0.9265454630208709,2.0274245657677636,704
