method,err_0p5s,err_1p0s,err_1p5s,err_2p0s,err_2p5s,err_3p0s,err_3p5s,err_4p0s,err_4p5s,err_5p0s,err_5p5s,err_6p0s
gru_hidden_64_layers_1,0.10841183713587683,0.21533137698828464,0.33330292084069285,0.4677378449854256,0.604849216904933,0.7692952392282512,0.9513422183676581,1.1480939578935,1.3672648362004443,1.6011957111847799,1.8620091841691069,2.1394111632649913
gru_hidden_128_layers_1,0.11036331121563721,0.22043082029052707,0.3350934368003932,0.470173711521387,0.6175414581693158,0.7746412502972155,0.9378528185202,1.112233723701634,1.30851110225591,1.5220373916851135,1.7537898937741623,2.015351229760034
gru_hidden_256_layers_1,0.10029867775648943,0.19312983460258693,0.3101406096565453,0.4299435458960943,0.5656054651428183,0.7180460244714844,0.8782582701453727,1.0492592487855952,1.2362377894215486,1.443543340165475,1.6724306876421906,1.923914263469421
gru_hidden_128_layers_2,0.13308382563363094,0.24965550195272293,0.37178575132632186,0.5045386471822646,0.6563508879480651,0.8208935607439013,0.999271838159819,1.1982947036343499,1.4040536088882205,1.6410814972048022,1.8863947488425765,2.1572248112140433
gru_hidden_256_layers_2,0.11898587204235479,0.2201577074903815,0.3387334649332016,0.4640138269559512,0.6015666067012883,0.7515822438535079,0.9208571494203749,1.1016571620870805,1.307474469480274,1.5183909334882628,1.747506910548757,2.000715476926416
gru_hidden_128_layers_3,0.11084553246953212,0.21178087395144923,0.32217699069736805,0.44280000680538995,0.5735940782277876,0.7193137356311623,0.8695011391623253,1.0348765432592535,1.2258136866148561,1.4255632026812568,1.6461169958873307,1.8935206402318066
gru_hidden_256_layers_3,0.12930265642121827,0.23742823209679706,0.35280793711849995,0.48726778153848666,0.6288841147536666,0.783645125432403,0.943457785637954,1.120109099197593,1.3220792949234073,1.531745318777129,1.766895488790231,2.016513174434129
