sample_idx,min_ade,min_fde,best_ade_k,best_fde_k,conf_ade,conf_fde,conf_k,conf_prob
577,0.15059004724025726,0.29304373264312744,3,3,0.15059004724025726,0.29304373264312744,3,0.9896015524864197
2895,2.7027475833892822,6.28122615814209,0,0,2.7027475833892822,6.28122615814209,0,0.7992127537727356
2264,0.36333179473876953,0.7437313795089722,4,4,0.36333179473876953,0.7437313795089722,4,0.8788474798202515
2472,0.02806531824171543,0.08374346792697906,4,4,0.02806531824171543,0.08374346792697906,4,0.5505380034446716
1372,0.1262492835521698,0.12121623754501343,4,1,0.1262492835521698,0.1718921810388565,4,0.6406208872795105
3101,0.12764228880405426,0.14107811450958252,3,3,0.12764228880405426,0.14107811450958252,3,0.9957196116447449
2559,0.11181167513132095,0.11581677943468094,4,4,0.11181167513132095,0.11581677943468094,4,0.6711737513542175
1470,0.07642128318548203,0.04048927128314972,3,3,0.07642128318548203,0.04048927128314972,3,0.9976310729980469
125,0.019666852429509163,0.042792778462171555,3,3,0.019666852429509163,0.042792778462171555,3,0.9994720816612244
1005,0.3854118287563324,0.762398898601532,3,3,0.3854118287563324,0.762398898601532,3,0.7911574244499207
3310,1.144092082977295,2.106250286102295,0,0,1.144092082977295,2.106250286102295,0,0.9411090016365051
2420,0.16107884049415588,0.2608422636985779,3,3,0.16107884049415588,0.2608422636985779,3,0.9970917701721191
3423,0.15523751080036163,0.2256188541650772,3,3,0.15523751080036163,0.2256188541650772,3,0.9832965135574341
3012,0.024640969932079315,0.024437490850687027,3,3,0.024640969932079315,0.024437490850687027,3,0.9999873638153076
1870,1.2118200063705444,1.4829378128051758,0,0,1.2118200063705444,1.4829378128051758,0,0.9036228060722351
2256,0.14982156455516815,0.09742831438779831,3,3,0.21548406779766083,0.4455450475215912,4,0.6214650273323059
3207,0.15652918815612793,0.23368805646896362,3,3,0.15652918815612793,0.23368805646896362,3,0.9993200302124023
2787,0.03863069787621498,0.05385427176952362,4,4,0.03863069787621498,0.05385427176952362,4,0.6896113753318787
1947,0.49368762969970703,1.468122959136963,3,3,3.326725721359253,7.419199466705322,4,0.8597543835639954
2834,0.108853779733181,0.10340216010808945,1,1,0.11321833729743958,0.19253873825073242,4,0.6786372065544128
598,0.16718971729278564,0.17738471925258636,3,3,0.29627102613449097,0.40265634655952454,4,0.6552556753158569
1914,0.6711869239807129,2.40084171295166,0,0,0.6711869239807129,2.40084171295166,0,0.999562680721283
2125,0.08235221356153488,0.1334780603647232,3,3,0.15094807744026184,0.23678475618362427,4,0.5389928817749023
601,0.1672958880662918,0.1769091635942459,3,3,0.2613055109977722,0.4033653140068054,4,0.6528488993644714
2297,0.04602392017841339,0.1942654848098755,3,3,0.04602392017841339,0.1942654848098755,3,0.9966017007827759
788,0.04160277172923088,0.13849885761737823,3,3,0.04160277172923088,0.13849885761737823,3,0.9989314675331116
818,3.039486885070801,6.374529838562012,0,5,3.171337127685547,6.374529838562012,5,0.6288744807243347
1891,1.435718059539795,2.3064181804656982,5,0,6.605306625366211,18.198667526245117,3,0.36294880509376526
3225,0.028425930067896843,0.038291074335575104,3,3,0.028425930067896843,0.038291074335575104,3,0.9982413053512573
532,0.09452587366104126,0.1882610321044922,3,3,0.09452587366104126,0.1882610321044922,3,0.9161323308944702
1512,0.13340412080287933,0.11906398832798004,3,4,0.13340412080287933,0.17785747349262238,3,0.8355810642242432
920,0.0479583777487278,0.05409073457121849,3,3,0.0479583777487278,0.05409073457121849,3,0.9994624257087708
1784,0.034825555980205536,0.05164669081568718,3,3,0.034825555980205536,0.05164669081568718,3,0.9987311959266663
2677,0.13431070744991302,0.19280017912387848,3,3,0.13431070744991302,0.19280017912387848,3,0.9923997521400452
1506,0.09889737516641617,0.10968197137117386,3,3,0.09889737516641617,0.10968197137117386,3,0.7925577759742737
2596,0.15010112524032593,0.1592004895210266,3,3,0.15010112524032593,0.1592004895210266,3,0.9846561551094055
486,0.06650739163160324,0.1558128148317337,3,3,0.06650739163160324,0.1558128148317337,3,0.9994645714759827
1297,0.2545582950115204,0.3782271444797516,0,0,0.2545582950115204,0.3782271444797516,0,0.9698078632354736
3347,0.1015831008553505,0.21768231689929962,3,3,0.1015831008553505,0.21768231689929962,3,0.9973859190940857
1257,0.1380741447210312,0.06298673897981644,3,3,0.1380741447210312,0.06298673897981644,3,0.999754011631012
842,0.050691623240709305,0.030419008806347847,4,4,0.050691623240709305,0.030419008806347847,4,0.9997208714485168
1894,2.6450467109680176,3.5567362308502197,0,0,2.6450467109680176,3.5567362308502197,0,0.9871912002563477
2192,0.2336529642343521,0.283563494682312,3,3,0.40173959732055664,0.4589310884475708,4,0.5933408141136169
317,0.020796211436390877,0.04423832893371582,3,3,0.020796211436390877,0.04423832893371582,3,0.9994283318519592
