method,K,alpha,hidden_dim,num_layers,epochs,lr,dropout,min_ade,min_fde,conf_ade,conf_fde,num_samples
lstm_top6_conf_hidden_64_layers_1,6,0.1,64,1,100,0.001,0.1,0.5444877767625836,1.0791226944665224,0.8029796628807989,1.6876717723611032,704
lstm_top6_conf_hidden_128_layers_1,6,0.1,128,1,100,0.001,0.1,0.443747820565477,0.8126397624400852,0.7695888172549364,1.6277205964252062,704
lstm_top6_conf_hidden_256_layers_1,6,0.1,256,1,100,0.001,0.1,0.4224405168867882,0.7757517380009218,0.6929999498242978,1.4865402970866521,704
lstm_top6_conf_hidden_128_layers_2,6,0.1,128,2,100,0.001,0.1,0.4511550420112061,0.8374403754185716,0.7414729965490882,1.5420798983012156,704
lstm_top6_conf_hidden_256_layers_2,6,0.1,256,2,100,0.001,0.1,0.3939677550714061,0.7185574351354841,0.672998779269454,1.3870138751438141,704
lstm_top6_conf_hidden_128_layers_3,6,0.1,128,3,100,0.001,0.1,0.5044152205532142,0.9293298761893477,0.8980444401214217,1.8501475671887007,704
lstm_top6_conf_hidden_256_layers_3,6,0.1,256,3,100,0.001,0.1,0.511470891496918,0.9548521489348125,0.8518945909229594,1.8365554543316565,704
