method,hidden_dim,num_layers,epochs,lr,dropout,ade,fde,num_samples
gru_hidden_64_layers_1,64,1,100,0.001,0.1,0.9917390527552925,2.207161117341126,704
gru_hidden_128_layers_1,128,1,100,0.001,0.1,0.9976740701505068,2.190418341616433,704
gru_hidden_256_layers_1,256,1,100,0.001,0.1,0.9772849969370079,2.1169814366003266,704
gru_hidden_128_layers_2,128,2,100,0.001,0.1,0.992632574936248,2.1292753296200484,704
gru_hidden_256_layers_2,256,2,100,0.001,0.1,1.003838528998048,2.1895858303786637,704
gru_hidden_128_layers_3,128,3,100,0.001,0.1,0.9418749120033515,2.0575357418373725,704
gru_hidden_256_layers_3,256,3,100,0.001,0.1,1.006087449260204,2.1900123542529233,704
