method,err_0p5s,err_1p0s,err_1p5s,err_2p0s,err_2p5s,err_3p0s,err_3p5s,err_4p0s,err_4p5s,err_5p0s,err_5p5s,err_6p0s
gru_hidden_64_layers_1,0.09610250310321465,0.19807926971572504,0.32616495966728754,0.4683266491834233,0.6179406257837069,0.794689804497466,0.9782812056781206,1.18394007374809,1.425201121643609,1.6746847799725153,1.9302964019642042,2.207161117341126
gru_hidden_128_layers_1,0.10324926176062119,0.21007130164467858,0.3387910687699993,0.483533340655082,0.635448303049171,0.8108307023788008,0.9969621724210976,1.1991557399914283,1.4248052315643607,1.6651576037521325,1.9136658007495995,2.190418341616433
gru_hidden_256_layers_1,0.1191598167718191,0.22875647228713866,0.3402592233204897,0.48286441563025373,0.6359666189884426,0.8024169745913241,0.9798634983423902,1.1659451816416218,1.3830732035135456,1.6144157956097678,1.8577173142693937,2.1169814366003266
gru_hidden_128_layers_2,0.10325483901479773,0.2222318094563062,0.3602563761229579,0.5028849208912024,0.6652754000381471,0.8291046705430332,1.0062527887970314,1.192968565239095,1.40327730517972,1.6243782859475522,1.8724306473529644,2.1292753296200484
gru_hidden_256_layers_2,0.1184307781240932,0.21841995020242227,0.34627448881887674,0.48559301305629726,0.645380963558802,0.8173755109151402,1.0052371191215406,1.197187176785271,1.4329665272333925,1.6684921127780399,1.9211189055217388,2.1895858303786637
gru_hidden_128_layers_3,0.09908249962716748,0.20519755408465493,0.32641695846343116,0.4512152889365924,0.6047888866853761,0.7655019989794131,0.9472720669880139,1.1293781747124079,1.345468873040359,1.5696028535921043,1.8010380479628856,2.0575357418373725
gru_hidden_256_layers_3,0.11494689038293225,0.2224950559350625,0.3498176448450646,0.4854640870904735,0.6456984104293869,0.822313039828838,1.009036457379063,1.207667225629848,1.4297301580716686,1.6715613876599078,1.9243066766873447,2.1900123542529233
