method,d_model,nhead,num_layers,dim_feedforward,epochs,lr,dropout,ade,fde,num_samples
transformer_d64_heads_4_layers_1_ff_128_lr_0p0003,64,4,1,128,100,0.0003,0.1,0.9465912013864991,1.9825603335504474,704
transformer_d128_heads_4_layers_1_ff_256_lr_0p0003,128,4,1,256,100,0.0003,0.1,0.8766282866867683,1.8520912104286253,704
transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,128,4,2,256,100,0.0003,0.1,0.8028461771133483,1.6817126303516985,704
transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,128,4,2,512,100,0.0003,0.1,0.81359288970072,1.6773482349437308,704
