method,err_0p5s,err_1p0s,err_1p5s,err_2p0s,err_2p5s,err_3p0s,err_3p5s,err_4p0s,err_4p5s,err_5p0s,err_5p5s,err_6p0s
transformer_d64_heads_4_layers_1_ff_128_lr_0p0003,0.13913463436289353,0.2623344489574348,0.3791893305583058,0.5078536561810655,0.651026759469625,0.7961384578173404,0.958281664324452,1.1206509191893432,1.307402564391933,1.5191067469207733,1.7354149878148581,1.9825603335504474
transformer_d128_heads_4_layers_1_ff_256_lr_0p0003,0.12035961482929865,0.23705874922598014,0.3459822709764095,0.46311556580192037,0.5915430812223018,0.7323761736280919,0.8830395082744541,1.0395784094805343,1.2187868511408106,1.4152324756875962,1.6203755215673565,1.8520912104286253
transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,0.12193594888826324,0.2191312953607187,0.32487870702871907,0.4262848853636983,0.5470899813368636,0.673670063848311,0.8074279751619376,0.9537416392287758,1.11848039319408,1.2875993744154668,1.4722011797130108,1.6817126303516985
transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,0.12036621032637579,0.22718785564335453,0.3392078179809191,0.4508627853004079,0.5729817547677178,0.6959001978693364,0.8312151157475786,0.960721517342873,1.1261650612194154,1.2861193522532466,1.4750387740456394,1.6773482349437308
