method,hidden_dim,num_layers,epochs,lr,dropout,ade,fde,num_samples
gru_hidden_64_layers_1,64,1,100,0.001,0.1,0.953598730120575,2.1018515203593946,704
gru_hidden_128_layers_1,128,1,100,0.001,0.1,0.9230743421860759,2.0039196770310146,704
gru_hidden_256_layers_1,256,1,100,0.001,0.1,0.9144835275021085,1.9646045775986172,704
gru_hidden_128_layers_2,128,2,100,0.001,0.1,0.9126762625012568,1.9473917493689277,704
gru_hidden_256_layers_2,256,2,100,0.001,0.1,0.8997872377936305,1.95405155145669,704
gru_hidden_128_layers_3,128,3,100,0.001,0.1,0.9400439485060897,1.9973450206373606,704
gru_hidden_256_layers_3,256,3,100,0.001,0.1,0.9266455229345328,1.997327605989333,704
