method,err_0p5s,err_1p0s,err_1p5s,err_2p0s,err_2p5s,err_3p0s,err_3p5s,err_4p0s,err_4p5s,err_5p0s,err_5p5s,err_6p0s
lstm_hidden_64_layers_1,0.11929774335311033,0.2288495435336286,0.34521229887303145,0.46975393707676133,0.6118364822015626,0.7712358534666816,0.9351380200622027,1.1239767336287927,1.3282160669148817,1.547933435502769,1.7900210209767962,2.056215047418556
lstm_hidden_128_layers_1,0.10821430795790961,0.2113496503780797,0.32636136618434236,0.44627042957753554,0.5772178427039101,0.7304703486383501,0.885209037530744,1.052065447476211,1.24104165806652,1.4523218138545582,1.6881588436094304,1.9431166776154318
lstm_hidden_256_layers_1,0.11308802317117542,0.21672773993122973,0.32556744395465514,0.45732277858273435,0.601303211733466,0.7565093011256646,0.9211643304337155,1.0971520701820159,1.294778116174381,1.5126509098137666,1.7457174671237061,1.9920801096463534
lstm_hidden_128_layers_2,0.10927921066559065,0.2101001028487107,0.3220319890900679,0.4454027028749062,0.5673886536935077,0.7063606498803975,0.855350360383785,1.017210585170026,1.1991380147585666,1.3916609696885147,1.615129581689292,1.8613973188905881
lstm_hidden_256_layers_2,0.10713319311158061,0.2097511812429399,0.3261821533180244,0.4547366413125102,0.592262481383593,0.7535658453608366,0.9176903329432455,1.0988761919910426,1.2973404792970873,1.5202450196480972,1.7513050254135372,2.011150013539009
lstm_hidden_128_layers_3,0.11481058196312172,0.2167928303211242,0.3258860336483684,0.44905471386697504,0.5722149658117401,0.7162618827771273,0.8627974544001105,1.0220439189645483,1.207566592157739,1.4027522951629097,1.6224654050668257,1.8652316953613826
lstm_hidden_256_layers_3,0.11498182439390803,0.2120646553779476,0.32893812860923144,0.4602947463873451,0.5914394581724826,0.7522527392912625,0.9207798249911072,1.1027339310676325,1.3057468064355569,1.5204124559492234,1.7535054913744468,2.010697702468447
