feature_set,model_group,method,horizon_path,horizon_field,error,horizon_seconds
motion_yaw,gru,gru_hidden_128_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_4p0s,1.1958968568413348,4.0
motion_yaw,gru,gru_hidden_128_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_4p5s,1.4265105350006542,4.5
motion_yaw,gru,gru_hidden_128_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_5p0s,1.6600386656434487,5.0
motion_yaw,gru,gru_hidden_128_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_5p5s,1.9190067061122549,5.5
motion_yaw,gru,gru_hidden_128_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_6p0s,2.2018894258428854,6.0
motion_yaw,gru,gru_hidden_128_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_0p5s,0.1226528508497556,0.5
motion_yaw,gru,gru_hidden_128_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_1p0s,0.2512202676169346,1.0
motion_yaw,gru,gru_hidden_128_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_1p5s,0.3728015223314287,1.5
motion_yaw,gru,gru_hidden_128_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_2p0s,0.4963057603070576,2.0
motion_yaw,gru,gru_hidden_128_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_2p5s,0.6395308617826562,2.5
motion_yaw,gru,gru_hidden_128_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_3p0s,0.7916031165567058,3.0
motion_yaw,gru,gru_hidden_128_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_3p5s,0.9413667868089264,3.5
motion_yaw,gru,gru_hidden_128_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_4p0s,1.1150210493876578,4.0
motion_yaw,gru,gru_hidden_128_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_4p5s,1.3091436423657632,4.5
motion_yaw,gru,gru_hidden_128_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_5p0s,1.5172976709674748,5.0
motion_yaw,gru,gru_hidden_128_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_5p5s,1.7406792832314917,5.5
motion_yaw,gru,gru_hidden_128_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_6p0s,1.99577763921314,6.0
motion_yaw,gru,gru_hidden_128_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_0p5s,0.1206108891135293,0.5
motion_yaw,gru,gru_hidden_128_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_1p0s,0.2282422095492868,1.0
motion_yaw,gru,gru_hidden_128_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_1p5s,0.3431807676930806,1.5
motion_yaw,gru,gru_hidden_128_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_2p0s,0.4833620749231241,2.0
motion_yaw,gru,gru_hidden_128_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_2p5s,0.6226533267596427,2.5
motion_yaw,gru,gru_hidden_128_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_3p0s,0.7768402904022712,3.0
motion_yaw,gru,gru_hidden_128_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_3p5s,0.9407643279343822,3.5
motion_yaw,gru,gru_hidden_128_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_4p0s,1.128188041848427,4.0
motion_yaw,gru,gru_hidden_128_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_4p5s,1.3228121582294328,4.5
motion_yaw,gru,gru_hidden_128_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_5p0s,1.5318055930375438,5.0
motion_yaw,gru,gru_hidden_128_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_5p5s,1.7644226059174717,5.5
motion_yaw,gru,gru_hidden_128_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_6p0s,2.0303034295767164,6.0
motion_yaw,gru,gru_hidden_256_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_0p5s,0.118611255355807,0.5
motion_yaw,gru,gru_hidden_256_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_1p0s,0.2370001689886604,1.0
motion_yaw,gru,gru_hidden_256_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_1p5s,0.3735886025427714,1.5
motion_yaw,gru,gru_hidden_256_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_2p0s,0.5116771123390539,2.0
motion_yaw,gru,gru_hidden_256_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_2p5s,0.6725321054049842,2.5
motion_yaw,gru,gru_hidden_256_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_3p0s,0.8347542223087988,3.0
motion_yaw,gru,gru_hidden_256_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_3p5s,1.0098848435379544,3.5
motion_yaw,gru,gru_hidden_256_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_4p0s,1.1830289210285465,4.0
motion_yaw,gru,gru_hidden_256_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_4p5s,1.3929752258283603,4.5
motion_yaw,gru,gru_hidden_256_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_5p0s,1.59030414407078,5.0
motion_yaw,gru,gru_hidden_256_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_5p5s,1.8161591142726885,5.5
motion_yaw,gru,gru_hidden_256_layers_1,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_6p0s,2.0496207559600323,6.0
motion_yaw,gru,gru_hidden_256_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_0p5s,0.110223785431365,0.5
motion_yaw,gru,gru_hidden_256_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_1p0s,0.2033690345312855,1.0
motion_yaw,gru,gru_hidden_256_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_1p5s,0.3173191502716939,1.5
motion_yaw,gru,gru_hidden_256_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_2p0s,0.4435654682396985,2.0
motion_yaw,gru,gru_hidden_256_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_2p5s,0.5879729883540263,2.5
motion_yaw,gru,gru_hidden_256_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_3p0s,0.7396463854059799,3.0
motion_yaw,gru,gru_hidden_256_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_3p5s,0.9034453395979654,3.5
motion_yaw,gru,gru_hidden_256_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_4p0s,1.0807024571457242,4.0
motion_yaw,gru,gru_hidden_256_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_4p5s,1.2828868092656194,4.5
motion_yaw,gru,gru_hidden_256_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_5p0s,1.4983831271198471,5.0
motion_yaw,gru,gru_hidden_256_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_5p5s,1.733541425838749,5.5
motion_yaw,gru,gru_hidden_256_layers_2,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_6p0s,1.996961329701166,6.0
motion_yaw,gru,gru_hidden_256_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_0p5s,0.1260419108087014,0.5
motion_yaw,gru,gru_hidden_256_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_1p0s,0.246132297526029,1.0
motion_yaw,gru,gru_hidden_256_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_1p5s,0.3559665507322775,1.5
motion_yaw,gru,gru_hidden_256_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_2p0s,0.4835492187619159,2.0
motion_yaw,gru,gru_hidden_256_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_2p5s,0.6271191112993454,2.5
motion_yaw,gru,gru_hidden_256_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_3p0s,0.792407148561324,3.0
motion_yaw,gru,gru_hidden_256_layers_3,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,err_3p5s,0.9676158283651932,3.5
