feature_set,model_group,method,ade,fde,num_samples,summary_path,hidden_dim,num_layers,epochs,lr,dropout,alpha,d_model,nhead,dim_feedforward,raw_method,display_method
motion_yaw,transformer,transformer_d64_heads_4_layers_1_ff_128_lr_0p0003,1.1548512539328923,2.385847371733028,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/transformer/transformer_summary.csv,,1.0,100.0,0.0003,0.1,,64.0,4.0,128.0,transformer_d64_heads_4_layers_1_ff_128_lr_0p0003,transformer_d64_heads_4_layers_1_ff_128_lr_0p0003
motion_yaw,mlp,mlp_hidden_128,1.277844654951795,2.7903381974663883,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/mlp/mlp_summary.csv,128.0,,100.0,0.001,,,,,,mlp_hidden_128,mlp_hidden_128
motion_yaw,constant_velocity,constant_velocity_smoothed,1.3001133271404384,2.847668970837152,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/constant_velocity/constant_velocity_summary.csv,,,,,,,,,,constant_velocity_smoothed,constant_velocity_smoothed
motion_yaw,mlp,mlp_hidden_64,1.3964213633020832,2.912236715140435,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/mlp/mlp_summary.csv,64.0,,100.0,0.001,,,,,,mlp_hidden_64,mlp_hidden_64
xy_only,gru,gru_hidden_256_layers_3,0.9677293375901752,2.1439215129572733,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,256.0,3.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_3,gru_hidden_256_layers_3
xy_only,lstm,lstm_hidden_128_layers_3,0.978107601697874,2.1808015158398617,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,128.0,3.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_3,lstm_hidden_128_layers_3
xy_only,lstm,lstm_hidden_256_layers_2,0.994427200888326,2.181335427996766,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,256.0,2.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_2,lstm_hidden_256_layers_2
xy_only,gru,gru_hidden_128_layers_3,0.9970715436343612,2.203734191250988,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,128.0,3.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_3,gru_hidden_128_layers_3
xy_only,gru,gru_hidden_128_layers_2,1.003328225998716,2.240926675813336,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,128.0,2.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_2,gru_hidden_128_layers_2
xy_only,lstm,lstm_hidden_128_layers_1,1.015841257552066,2.2945353371317405,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,128.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_1,lstm_hidden_128_layers_1
xy_only,lstm,lstm_hidden_256_layers_1,1.033221931696806,2.308626414496757,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,256.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_1,lstm_hidden_256_layers_1
xy_only,lstm,lstm_hidden_256_layers_3,1.0466411182715092,2.2670821932710665,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,256.0,3.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_3,lstm_hidden_256_layers_3
xy_only,lstm,lstm_hidden_64_layers_1,1.0609622445230011,2.3849139268263984,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,64.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_64_layers_1,lstm_hidden_64_layers_1
xy_only,gru,gru_hidden_128_layers_1,1.0616490545216948,2.3656608384864573,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,128.0,1.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_1,gru_hidden_128_layers_1
