feature_set,model_group,method,ade,fde,num_samples,summary_path,hidden_dim,num_layers,epochs,lr,dropout,alpha,d_model,nhead,dim_feedforward,raw_method,display_method
motion_yaw_norm+fallback_from_motion_yaw,linear_regression,linear_regression,1.1416428320014596,2.6140753069088203,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/linear_regression/linear_regression_summary.csv,,,,,,,,,,linear_regression,linear_regression
motion_yaw_norm+fallback_from_motion_yaw,linear_regression,ridge_regression,1.150862880466527,2.637188413820695,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/linear_regression/linear_regression_summary.csv,,,,,,1.0,,,,ridge_regression,ridge_regression
motion_yaw_norm+fallback_from_motion_yaw,constant_velocity,constant_velocity_last_step,1.152591207942378,2.6385461937492933,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/constant_velocity/constant_velocity_summary.csv,,,,,,,,,,constant_velocity_last_step,constant_velocity_last_step
motion_yaw_norm+fallback_from_motion_yaw,constant_velocity,constant_velocity_smoothed,1.3001133271404384,2.847668970837152,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/constant_velocity/constant_velocity_summary.csv,,,,,,,,,,constant_velocity_smoothed,constant_velocity_smoothed
