feature_set,model_group,method,ade,fde,num_samples,summary_path,plots_root,hidden_dim,num_layers,epochs,lr,dropout,alpha,d_model,nhead,dim_feedforward,raw_method,display_method
motion_yaw,transformer,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,0.9761554312505972,2.094662562609962,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/transformer/transformer_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,,2.0,100.0,0.0003,0.1,,128.0,4.0,512.0,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003
xy_only,lstm,lstm_hidden_128_layers_3,0.978107601697874,2.1808015158398617,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,128.0,3.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_3,lstm_hidden_128_layers_3
xy_only,lstm,lstm_hidden_256_layers_2,0.994427200888326,2.181335427996766,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,256.0,2.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_2,lstm_hidden_256_layers_2
xy_only,gru,gru_hidden_128_layers_3,0.9970715436343612,2.203734191250988,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,128.0,3.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_3,gru_hidden_128_layers_3
motion_yaw,gru,gru_hidden_128_layers_2,1.0018857706190003,2.1572248112140437,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,128.0,2.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_2,gru_hidden_128_layers_2
xy_only,gru,gru_hidden_128_layers_2,1.003328225998716,2.240926675813336,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,128.0,2.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_2,gru_hidden_128_layers_2
xy_only,lstm,lstm_hidden_128_layers_1,1.015841257552066,2.2945353371317405,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,128.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_1,lstm_hidden_128_layers_1
motion_yaw,mlp,mlp_hidden_256,1.020161380680458,2.283987212289172,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/mlp/mlp_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,256.0,,100.0,0.001,,,,,,mlp_hidden_256,mlp_hidden_256
xy_only,lstm,lstm_hidden_256_layers_1,1.033221931696806,2.308626414496757,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,256.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_1,lstm_hidden_256_layers_1
motion_yaw,transformer,transformer_d64_heads_4_layers_1_ff_128_lr_0p0003,1.039016401269526,2.270656652454901,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/transformer/transformer_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,,1.0,100.0,0.0003,0.1,,64.0,4.0,128.0,transformer_d64_heads_4_layers_1_ff_128_lr_0p0003,transformer_d64_heads_4_layers_1_ff_128_lr_0p0003
xy_only,lstm,lstm_hidden_256_layers_3,1.0466411182715092,2.2670821932710665,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,256.0,3.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_3,lstm_hidden_256_layers_3
motion_yaw,mlp,mlp_hidden_128,1.0524982899157542,2.3539160906346464,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/mlp/mlp_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,128.0,,100.0,0.001,,,,,,mlp_hidden_128,mlp_hidden_128
xy_only,lstm,lstm_hidden_64_layers_1,1.0609622445230011,2.3849139268263984,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,64.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_64_layers_1,lstm_hidden_64_layers_1
xy_only,gru,gru_hidden_128_layers_1,1.0616490545216948,2.3656608384864573,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,128.0,1.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_1,gru_hidden_128_layers_1
xy_only,gru,gru_hidden_256_layers_1,1.1067677798564546,2.418291322815507,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,256.0,1.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_1,gru_hidden_256_layers_1
motion_yaw,mlp,mlp_hidden_64,1.107146563860376,2.409537376542424,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/mlp/mlp_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,64.0,,100.0,0.001,,,,,,mlp_hidden_64,mlp_hidden_64
xy_only,gru,gru_hidden_64_layers_1,1.112896438055693,2.4583566128805447,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,64.0,1.0,100.0,0.001,0.1,,,,,gru_hidden_64_layers_1,gru_hidden_64_layers_1
xy_only,lstm,lstm_hidden_128_layers_2,1.113417437902006,2.423046661804785,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,128.0,2.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_2,lstm_hidden_128_layers_2
xy_only,transformer,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,1.1255490116891451,2.42494842040039,704,/workspaces/nuscenes_trajectory_demo/outputs/results/transformer/transformer_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,2.0,100.0,0.0003,0.1,,128.0,4.0,512.0,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003
