method,alpha,ade,fde,num_samples
mlp_hidden_64,,1.2536050040296025,2.71617986495469,704
mlp_hidden_128,,1.2039007337271785,2.6592229088445576,704
mlp_hidden_256,,1.1895911704936721,2.6413974579137918,704
