method,hidden_dim,num_layers,epochs,lr,dropout,ade,fde,num_samples
gru_hidden_64_layers_1,64,1,100,0.001,0.1,0.9075371736623559,1.8693858569445596,704
gru_hidden_128_layers_1,128,1,100,0.001,0.1,0.808948910341397,1.6820704081341815,704
gru_hidden_256_layers_1,256,1,100,0.001,0.1,0.7806730067188089,1.6363952541922282,704
gru_hidden_128_layers_2,128,2,100,0.001,0.1,0.728497283930086,1.503833565038142,704
gru_hidden_256_layers_2,256,2,100,0.001,0.1,0.6826648142503638,1.3984340319974846,704
gru_hidden_128_layers_3,128,3,100,0.001,0.1,0.7134626010718587,1.474070680409072,704
gru_hidden_256_layers_3,256,3,100,0.001,0.1,0.7119893628068067,1.471012050813773,704
