method,err_0p5s,err_1p0s,err_1p5s,err_2p0s,err_2p5s,err_3p0s,err_3p5s,err_4p0s,err_4p5s,err_5p0s,err_5p5s,err_6p0s
gru_hidden_64_layers_1,0.14076230675213577,0.26391492322595284,0.38202135162547085,0.5063218426611539,0.6334930081601752,0.7740139174611613,0.9248250176073767,1.0765157788957203,1.2422890368913861,1.4353912788276582,1.6415118089128307,1.8693858569445596
gru_hidden_128_layers_1,0.11311023383396704,0.2156077588727137,0.3271150550031466,0.4438465497881804,0.5662314380751923,0.6991002191524868,0.8294217652000953,0.9654511497408914,1.113446451490745,1.2817841675158972,1.4702018262885923,1.6820704081341815
gru_hidden_256_layers_1,0.10826897193774956,0.19765867365574444,0.29864146845019685,0.4101625884392309,0.5303462330626975,0.6640263569272726,0.799775498368862,0.9386605030846443,1.0860669810893093,1.2578534775662278,1.4402199833004323,1.6363952541922282
gru_hidden_128_layers_2,0.10809855674712955,0.1997721440300831,0.2936672856902243,0.3959696659009999,0.5027264336366154,0.6221389233930743,0.7451356715834911,0.8736714158664902,1.0120228095130932,1.1649307953517896,1.3199999917838299,1.503833565038142
gru_hidden_256_layers_2,0.11367601650966787,0.19697258723449937,0.2836299794560711,0.3721255023142062,0.4702574579397068,0.5777574073297067,0.696371536408895,0.8168106287273325,0.9447780922835757,1.0861750569902968,1.2349894679348588,1.3984340319974846
gru_hidden_128_layers_3,0.10915160610623141,0.19804262433337333,0.2914693157316916,0.3869285665203444,0.4938124011459877,0.6103689152679924,0.7300131233712984,0.8531345412662962,0.985754081207481,1.1345044772196244,1.2943010703093023,1.474070680409072
gru_hidden_256_layers_3,0.10765883891529236,0.18979259546973604,0.2842324437064731,0.3795823907280878,0.4843937084507078,0.6028145359242362,0.7279682806213466,0.8562695830101306,0.9943485785836608,1.1444031008180569,1.3013963243177964,1.471012050813773
