method,hidden_dim,num_layers,epochs,lr,dropout,ade,fde,num_samples
lstm_hidden_64_layers_1,64,1,100,0.001,0.1,1.0609622445230011,2.3849139268263984,704
lstm_hidden_128_layers_1,128,1,100,0.001,0.1,1.015841257552066,2.2945353371317405,704
lstm_hidden_256_layers_1,256,1,100,0.001,0.1,1.0332219316968059,2.308626414496757,704
lstm_hidden_128_layers_2,128,2,100,0.001,0.1,1.113417437902006,2.4230466618047846,704
lstm_hidden_256_layers_2,256,2,100,0.001,0.1,0.9944272008883259,2.181335427996766,704
lstm_hidden_128_layers_3,128,3,100,0.001,0.1,0.9781076016978741,2.1808015158398617,704
lstm_hidden_256_layers_3,256,3,100,0.001,0.1,1.0466411182715092,2.2670821932710665,704
