method,d_model,nhead,num_layers,dim_feedforward,epochs,lr,dropout,ade,fde,num_samples
transformer_d64_heads_4_layers_1_ff_128_lr_0p0003,64,4,1,128,100,0.0003,0.1,1.039016401269526,2.2706566524549006,704
transformer_d128_heads_4_layers_1_ff_256_lr_0p0003,128,4,1,256,100,0.0003,0.1,0.9695375636709452,2.1091696159444173,704
transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,128,4,2,256,100,0.0003,0.1,0.9326313611659729,2.012749534675756,704
transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,128,4,2,512,100,0.0003,0.1,0.9761554312505971,2.094662562609962,704
